;CAT;DESCRICAO
1210;Q00;Anencefalia e malformações similares
1211;Q01;Encefalocele
1212;Q02;Microcefalia
1213;Q03;Hidrocefalia congênita
1214;Q04;Outras malformações congênitas do cérebro
1215;Q05;Espinha bífida
1216;Q06;Outras malformações congênitas da medula espinhal
1217;Q07;Outras malformações congênitas do sistema nervoso
1218;Q10;Malformações congênitas das pálpebras, do aparelho lacrimal e da órbita
1219;Q11;Anoftalmia, microftalmia e macroftalmia
1220;Q12;Malformações congênitas do cristalino
1221;Q13;Malformações congênitas da câmara anterior do olho
1222;Q14;Malformações congênitas da câmara posterior do olho
1223;Q15;Outras malformações congênitas do olho
1224;Q16;Malformações congênitas do ouvido causando comprometimento da audição
1225;Q17;Outras malformações congênitas da orelha
1226;Q18;Outras malformações congênitas da face e do pescoço
1227;Q20;Malformações congênitas das câmaras e das comunicações cardíacas
1228;Q21;Malformações congênitas dos septos cardíacos
1229;Q22;Malformações congênitas das valvas pulmonar e tricúspide
1230;Q23;Malformações congênitas das valvas aórtica e mitral
1231;Q24;Outras malformações congênitas do coração
1232;Q25;Malformações congênitas das grandes artérias
1233;Q26;Malformações congênitas das grandes veias
1234;Q27;Outras malformações congênitas do sistema vascular periférico
1235;Q28;Outras malformações congênitas do aparelho circulatório
1236;Q30;Malformação congênita do nariz
1237;Q31;Malformações congênitas da laringe
1238;Q32;Malformações congênitas da traquéia e dos brônquios
1239;Q33;Malformações congênitas do pulmão
1240;Q34;Outras malformações congênitas do aparelho respiratório
1241;Q35;Fenda palatina
1242;Q36;Fenda labial
1243;Q37;Fenda labial com fenda palatina
1244;Q38;Outras malformações congênitas da língua, da boca e da faringe
1245;Q39;Malformações congênitas do esôfago
1246;Q40;Outras malformações congênitas do trato digestivo superior
1247;Q41;Ausência, atresia e estenose congênita do intestino delgado
1248;Q42;Ausência, atresia e estenose congênita do cólon
1249;Q43;Outras malformações congênitas do intestino
1250;Q44;Malformações congênitas da vesícula biliar, das vias biliares e do fígado
1251;Q45;Outras malformações congênitas do aparelho digestivo
1252;Q50;Malformações congênitas dos ovários, das trompas de Falópio e dos ligamentos largos
1253;Q51;Malformações congênitas do útero e do colo do útero
1254;Q52;Outras malformações congênitas dos órgãos genitais femininos
1255;Q53;Testículo não-descido
1256;Q54;Hipospádias
1257;Q55;Outras malformações congênitas dos órgãos genitais masculinos
1258;Q56;Sexo indeterminado e pseudo-hermafroditismo
1259;Q60;Agenesia renal e outros defeitos de redução do rim
1260;Q61;Doenças císticas do rim
1261;Q62;Anomalias congênitas obstrutivas da pelve renal e malformações congênitas do ureter
1262;Q63;Outras malformações congênitas do rim
1263;Q64;Outras malformações congênitas do aparelho urinário
1264;Q65;Malformações congênitas do quadril
1265;Q66;Deformidades congênitas do pé
1266;Q67;Deformidades osteomusculares congênitas da cabeça, da face, da coluna e do tórax
1267;Q68;Outras deformidades osteomusculares congênitas
1268;Q69;Polidactilia
1269;Q70;Sindactilia
1270;Q71;Defeitos, por redução, do membro superior
1271;Q72;Defeitos, por redução, do membro inferior
1272;Q73;Defeitos por redução de membro não especificado
1273;Q74;Outras malformações congênitas dos membros
1274;Q75;Outras malformações congênitas dos ossos do crânio e da face
1275;Q76;Malformações congênitas da coluna vertebral e dos ossos do tórax
1276;Q77;Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral
1277;Q78;Outras osteocondrodisplasias
1278;Q79;Malformações congênitas do sistema osteomuscular não classificadas em outra parte
1279;Q80;Ictiose congênita
1280;Q81;Epidermólise bolhosa
1281;Q82;Outras malformações congênitas da pele
1282;Q83;Malformações congênitas da mama
1283;Q84;Outras malformações congênitas do tegumento
1284;Q85;Facomatoses não classificadas em outra parte
1285;Q86;Síndromes com malformações congênitas devidas a causas exógenas conhecidas, não classificadas em outra parte
1286;Q87;Outras síndromes com malformações congênitas que acometem múltiplos sistemas
1287;Q89;Outras malformações congênitas não classificadas em outra parte
1288;Q90;Síndrome de Down
1289;Q91;Síndrome de Edwards e síndrome de Patau
1290;Q92;Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte
1291;Q93;Monossomias e deleções dos autossomos, não classificadas em outra parte
1292;Q95;Rearranjos equilibrados e marcadores estruturais, não classificados em outra parte
1293;Q96;Síndrome de Turner
1294;Q97;Outras anomalias dos cromossomos sexuais, fenótipo feminino, não classificadas em outra parte
1295;Q98;Outras anomalias dos cromossomos sexuais, fenótipo masculino, não classificadas em outra parte
1296;Q99;Outras anomalias dos cromossomos, não classificadas em outra parte
1297;R00;Anormalidades do batimento cardíaco
1298;R01;Sopros e outros ruídos cardíacos
1299;R02;Gangrena não classificada em outra parte
1300;R03;Valor anormal da pressão arterial sem diagnóstico
1301;R04;Hemorragia das vias respiratórias
1302;R05;Tosse
1303;R06;Anormalidades da respiração
1304;R07;Dor de garganta e no peito
1305;R09;Outros sintomas e sinais relativos aos aparelhos circulatório e respiratório
1306;R10;Dor abdominal e pélvica
1307;R11;Náusea e vômitos
1308;R12;Pirose
1309;R13;Disfagia
1310;R14;Flatulência e afecções correlatas
1311;R15;Incontinência fecal
1312;R16;Hepatomegalia e esplenomegalia não classificadas em outra parte
1313;R17;Icterícia não especificada
1314;R18;Ascite
1315;R19;Outros sintomas e sinais relativos ao aparelho digestivo e ao abdome
1316;R20;Distúrbios da sensibilidade cutânea
1317;R21;Eritema e outras erupções cutâneas não especificadas
1318;R22;Tumefação, massa ou tumoração localizadas da pele e do tecido subcutâneo
1319;R23;Outras alterações cutâneas
1320;R25;Movimentos involuntários anormais
1321;R26;Anormalidades da marcha e da mobilidade
1322;R27;Outros distúrbios da coordenação
1323;R29;Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular
1324;R30;Dor associada à micção
1325;R31;Hematúria não especificada
1326;R32;Incontinência urinária não especificada
1327;R33;Retenção urinária
1328;R34;Anúria e oligúria
1329;R35;Poliúria
1330;R36;Secreção uretral
1331;R39;Outros sintomas e sinais relativos ao aparelho urinário
1332;R40;Sonolência, estupor e coma
1333;R41;Outros sintomas e sinais relativos à função cognitiva e à consciência
1334;R42;Tontura e instabilidade
1335;R43;Distúrbios do olfato e do paladar
1336;R44;Outros sintomas e sinais relativos às sensações e às percepções gerais
1337;R45;Sintomas e sinais relativos ao estado emocional
1338;R46;Sintomas e sinais relativos à aparência e ao comportamento
1339;R47;Distúrbios da fala não classificados em outra parte
1340;R48;Dislexia e outras disfunções simbólicas, não classificadas em outra parte
1341;R49;Distúrbios da voz
1342;R50;Febre de origem desconhecida e de outras origens
1343;R51;Cefaléia
1344;R52;Dor não classificada em outra parte
1345;R53;Mal estar, fadiga
1346;R54;Senilidade
1347;R55;Síncope e colapso
1348;R56;Convulsões, não classificadas em outra parte
1349;R57;Choque não classificado em outra parte
1350;R58;Hemorragia não classificada em outra parte
1351;R59;Aumento de volume dos gânglios linfáticos
1352;R60;Edema não classificado em outra parte
1353;R61;Hiperidrose
1354;R62;Retardo do desenvolvimento fisiológico normal
1355;R63;Sintomas e sinais relativos à ingestão de alimentos e líquidos
1356;R64;Caquexia
1357;R68;Outros sintomas e sinais gerais
1358;R69;Causas desconhecidas e não especificadas de morbidade
1359;R70;Velocidade de hemossedimentação elevada e outras anormalidades da viscosidade plasmática
1360;R71;Anormalidade das hemácias
1361;R72;Anormalidade dos leucócitos não classificada em outra parte
1362;R73;Aumento da glicemia
1363;R74;Anormalidades dos níveis de enzimas séricas
1364;R75;Evidência laboratorial do vírus da imunodeficiência humana [HIV]
1365;R76;Outros achados imunológicos anormais no soro
1366;R77;Outras anormalidades das proteínas plasmáticas
1367;R78;Presença de drogas e de outras substâncias normalmente não encontradas no sangue
1368;R79;Outros achados anormais de exames químicos do sangue
1369;R80;Proteinúria isolada
1370;R81;Glicosúria
1371;R82;Outros achados anormais na urina
1372;R83;Achados anormais no líquido cefalorraquidiano
1373;R84;Achados anormais de material proveniente dos órgãos respiratórios e do tórax
1374;R85;Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal
1375;R86;Achados anormais de material proveniente dos órgãos genitais masculinos
1376;R87;Achados anormais de material proveniente dos órgãos genitais femininos
1377;R89;Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos
1378;R90;Resultados anormais de exames para diagnóstico por imagem do sistema nervoso central
1379;R91;Achados anormais, de exames para diagnóstico por imagem, do pulmão
1380;R92;Achados anormais, de exames para diagnóstico por imagem, da mama
1381;R93;Achados anormais de exames para diagnóstico por imagem de outras estruturas do corpo
1382;R94;Resultados anormais de estudos de função
1383;R95;Síndrome da morte súbita na infância
1384;R96;Outras mortes súbitas de causa desconhecida
1385;R98;Morte sem assistência
1386;R99;Outras causas mal definidas e as não especificadas de mortalidade
1387;S00;Traumatismo superficial da cabeça
1388;S01;Ferimento da cabeça
1389;S02;Fratura do crânio e dos ossos da face
1390;S03;Luxação, entorse ou distensão das articulações e dos ligamentos da cabeça
1391;S04;Traumatismo dos nervos cranianos
1392;S05;Traumatismo do olho e da órbita ocular
1393;S06;Traumatismo intracraniano
1394;S07;Lesões por esmagamento da cabeça
1395;S08;Amputação traumática de parte da cabeça
1396;S09;Outros traumatismos da cabeça e os não especificados
1397;S10;Traumatismo superficial do pescoço
1398;S11;Ferimento do pescoço
1399;S12;Fratura do pescoço
1400;S13;Luxação, entorse ou distensão das articulações e dos ligamentos do pescoço
1401;S14;Traumatismo de nervos e da medula espinhal ao nível cervical
1402;S15;Traumatismo dos vasos sangüíneos ao nível do pescoço
1403;S16;Traumatismo de tendões e de músculos do pescoço
1404;S17;Lesões por esmagamento do pescoço
1405;S18;Amputação traumática ao nível do pescoço
1406;S19;Outros traumatismos do pescoço e os não especificados
1407;S20;Traumatismo superficial do tórax
1408;S21;Ferimento do tórax
1409;S22;Fratura de costela(s), esterno e coluna torácica
1410;S23;Luxação, entorse e distensão de articulações e dos ligamentos do tórax
1411;S24;Traumatismos de nervos e da medula espinhal ao nível do tórax
1412;S25;Traumatismo de vasos sangüíneos do tórax
1413;S26;Traumatismo do coração
1414;S27;Traumatismo de outros órgãos intratorácicos e dos não especificados
1415;S28;Lesão por esmagamento do tórax e amputação traumática de parte do tórax
1416;S29;Outros traumatismos do tórax e os não especificados
1417;S30;Traumatismo superficial do abdome, do dorso e da pelve
1418;S31;Ferimento do abdome, do dorso e da pelve
1419;S32;Fratura da coluna lombar e da pelve
1420;S33;Luxação, entorse ou distensão das articulações e dos ligamentos da coluna lombar e da pelve
1421;S34;Traumatismo dos nervos e da medula lombar ao nível do abdome, do dorso e da pelve
1422;S35;Traumatismo de vasos sangüíneos ao nível do abdome, do dorso e da pelve
1423;S36;Traumatismo de órgãos intra-abdominais
1424;S37;Traumatismo do aparelho urinário e de órgãos pélvicos
1425;S38;Lesão por esmagamento e amputação traumática de parte do abdome, do dorso e da pelve
1426;S39;Outros traumatismos e os não especificados do abdome, do dorso e da pelve
1427;S40;Traumatismo superficial do ombro e do braço
1428;S41;Ferimento do ombro e do braço
1429;S42;Fratura do ombro e do braço
1430;S43;Luxação, entorse e distensão das articulações e dos ligamentos da cintura escapular
1431;S44;Traumatismo de nervos ao nível do ombro e do braço
1432;S45;Traumatismo dos vasos sangüíneos ao nível do ombro e do braço
1433;S46;Traumatismo de tendão e músculo ao nível do ombro e do braço
1434;S47;Lesão por esmagamento do ombro e do braço
1435;S48;Amputação traumática do ombro e do braço
1436;S49;Outros traumatismos e os não especificados do ombro e do braço
1437;S50;Traumatismo superficial do cotovelo e do antebraço
1438;S51;Ferimento do antebraço
1439;S52;Fratura do antebraço
1440;S53;Luxação, entorse e distensão das articulações e dos ligamentos do cotovelo
1441;S54;Traumatismo de nervos ao nível do antebraço
1442;S55;Traumatismo de vasos sangüíneos ao nível do antebraço
1443;S56;Traumatismo do músculo e tendão ao nível do antebraço
1444;S57;Lesão por esmagamento do antebraço
1445;S58;Amputação traumática do cotovelo e do antebraço
1446;S59;Outros traumatismos do antebraço e os não especificados
1447;S60;Traumatismo superficial do punho e da mão
1448;S61;Ferimento do punho e da mão
1449;S62;Fratura ao nível do punho e da mão
1450;S63;Luxação, entorse e distensão das articulações e dos ligamentos ao nível do punho e da mão
1451;S64;Traumatismo de nervos ao nível do punho e da mão
1452;S65;Traumatismo de vasos sangüíneos ao nível do punho e da mão
1453;S66;Traumatismo de músculo e tendão ao nível do punho e da mão
1454;S67;Lesão por esmagamento do punho e da mão
1455;S68;Amputação traumática ao nível do punho e da mão
1456;S69;Outros traumatismos e os não especificados do punho e da mão
1457;S70;Traumatismo superficial do quadril e da coxa
1458;S71;Ferimento do quadril e da coxa
1459;S72;Fratura do fêmur
1460;S73;Luxação, entorse e distensão da articulação e dos ligamentos do quadril
1461;S74;Traumatismo de nervos ao nível do quadril e da coxa
1462;S75;Traumatismo de vasos sangüíneos ao nível do quadril e da coxa
1463;S76;Traumatismo de músculo e de tendão ao nível do quadril e da coxa
1464;S77;Lesão por esmagamento do quadril e da coxa
1465;S78;Amputação traumática do quadril e da coxa
1466;S79;Outros traumatismos e os não especificados do quadril e da coxa
1467;S80;Traumatismo superficial da perna
1468;S81;Ferimento da perna
1469;S82;Fratura da perna, incluindo tornozelo
1470;S83;Luxação, entorse e distensão das articulações e dos ligamentos do joelho
1471;S84;Traumatismo de nervos periféricos da perna
1472;S85;Traumatismo de vasos sangüíneos da perna
1473;S86;Traumatismos de músculo e de tendão ao nível da perna
1474;S87;Traumatismo por esmagamento da perna
1475;S88;Amputação traumática da perna
1476;S89;Outros traumatismos e os não especificados da perna
1477;S90;Traumatismo superficial do tornozelo e do pé
1478;S91;Ferimentos do tornozelo e do pé
1479;S92;Fratura do pé (exceto do tornozelo)
1480;S93;Luxação, entorse e distensão das articulações e dos ligamentos ao nível do tornozelo e do pé
1481;S94;Traumatismo dos nervos ao nível do tornozelo e do pé
1482;S95;Traumatismo de vasos sangüíneos ao nível do tornozelo e do pé
1483;S96;Traumatismos do músculo e tendão ao nível do tornozelo e do pé
1484;S97;Lesão por esmagamento do tornozelo e do pé
1485;S98;Amputação traumática do tornozelo e do pé
1486;S99;Outros traumatismos e os não especificados do tornozelo e do pé
1487;T00;Traumatismos superficiais envolvendo múltiplas regiões do corpo
1488;T01;Ferimentos envolvendo múltiplas regiões do corpo
1489;T02;Fraturas envolvendo múltiplas regiões do corpo
1490;T03;Luxações, entorses e distensões envolvendo regiões múltiplas do corpo
1491;T04;Traumatismos por esmagamento envolvendo múltiplas regiões do corpo
1492;T05;Amputações traumáticas envolvendo múltiplas regiões do corpo
1493;T06;Outros traumatismos envolvendo regiões múltiplas do corpo, não classificados em outra parte
1494;T07;Traumatismos múltiplos não especificados
1495;T08;Fratura da coluna, nível não especificado
1496;T09;Outros traumatismos de coluna e tronco, nível não especificado
1497;T10;Fratura do membro superior, nível não especificado
1498;T11;Outros traumatismos de membro superior, nível não especificado
1499;T12;Fratura do membro inferior, nível não especificado
1500;T13;Outros traumatismos de membro inferior, nível não especificado
1501;T14;Traumatismo de região não especificada do corpo
1502;T15;Corpo estranho na parte externa do olho
1503;T16;Corpo estranho no ouvido
1504;T17;Corpo estranho no trato respiratório
1505;T18;Corpo estranho no aparelho digestivo
1506;T19;Corpo estranho no trato geniturinário
1507;T20;Queimadura e corrosão da cabeça e pescoço
1508;T21;Queimadura e corrosão do tronco
1509;T22;Queimadura e corrosão do ombro e membro superior, exceto punho e mão
1510;T23;Queimadura e corrosão do punho e da mão
1511;T24;Queimadura e corrosão do quadril e membro inferior, exceto tornozelo e do pé
1512;T25;Queimadura e corrosão do tornozelo e do pé
1513;T26;Queimadura e corrosão limitadas ao olho e seus anexos
1514;T27;Queimadura e corrosão do trato respiratório
1515;T28;Queimadura e corrosão de outros órgãos internos
1516;T29;Queimaduras e corrosões de múltiplas regiões do corpo
1517;T30;Queimadura e corrosão, parte não especificada do corpo
1518;T31;Queimaduras classificadas segundo a extensão da superfície corporal atingida
1519;T32;Corrosões classificadas segundo a extensão da superfície corporal atingida
1520;T33;Geladura superficial
1521;T34;Geladura com necrose de tecidos
1522;T35;Geladura de múltiplas partes do corpo e das não especificadas
1523;T36;Intoxicação por antibióticos sistêmicos
1524;T37;Intoxicação por outras substâncias antiinfecciosas ou antiparasitárias sistêmicas
1525;T38;Intoxicação por hormônios, seus substitutos sintéticos e seus antagonistas não classificados em outra parte
1526;T39;Intoxicação por analgésicos, antipiréticos e anti-reumáticos não-opiáceos
1527;T40;Intoxicação por narcóticos e psicodislépticos [alucinógenos]
1528;T41;Intoxicação por anestésicos e gases terapêuticos
1529;T42;Intoxicação por antiepilépticos, sedativos-hipnóticos e antiparkinsonianos
1530;T43;Intoxicação por drogas psicotrópicas não classificadas em outra parte
1531;T44;Intoxicação por drogas que afetam principalmente o sistema nervoso autônomo
1532;T45;Intoxicação por substâncias de ação essencialmente sistêmica e substâncias hematológicas, não classificadas em outra parte
1533;T46;Intoxicação por substâncias que atuam primariamente sobre o aparelho circulatório
1534;T47;Intoxicação por substâncias que atuam primariamente sobre o aparelho gastrointestinal
1535;T48;Intoxicação por substâncias que atuam primariamente sobre os músculos lisos e esqueléticos e sobre o aparelho respiratório
1536;T49;Intoxicação por substâncias de uso tópico que atuam primariamente sobre a pele e as mucosas e por medicamentos utilizados em oftalmologia, otorrinolaringologia e odontologia
1537;T50;Intoxicação por diuréticos e outras drogas, medicamentos e substâncias biológicas e as não especificadas
1538;T51;Efeito tóxico do álcool
1539;T52;Efeito tóxico de solventes orgânicos
1540;T53;Efeito tóxico de derivados halogênicos de hidrocarbonetos alifáticos e aromáticos
1541;T54;Efeito tóxico de corrosivos
1542;T55;Efeito tóxico de sabões e detergentes
1543;T56;Efeito tóxico de metais
1544;T57;Efeito tóxico de outras substâncias inorgânicas
1545;T58;Efeito tóxico do monóxido de carbono
1546;T59;Efeito tóxico de outros gases, fumaças e vapores
1547;T60;Efeito tóxico de pesticidas
1548;T61;Efeito tóxico de substâncias nocivas consumidas como fruto do mar
1549;T62;Efeito tóxico de outras substâncias nocivas ingeridas como alimento
1550;T63;Efeito tóxico de contato com animais venenosos
1551;T64;Efeito tóxico da aflatoxina e de outras micotoxinas contaminantes de alimentos
1552;T65;Efeito tóxico de outras substâncias e as não especificadas
1553;T66;Efeitos não especificados de radiação
1554;T67;Efeitos do calor e da luz
1555;T68;Hipotermia
1556;T69;Outros efeitos da temperatura reduzida
1557;T70;Efeitos da pressão atmosférica e da pressão da água
1558;T71;Asfixia
1559;T73;Efeitos de outras privações
1560;T74;Síndromes de maus tratos
1561;T75;Efeitos de outras causas externas
1562;T78;Efeitos adversos não classificados em outra parte
1563;T79;Algumas complicações precoces dos traumatismos não classificadas em outra parte
1564;T80;Complicações conseqüentes à infusão, transfusão ou injeção terapêutica
1565;T81;Complicações de procedimentos não classificadas em outra parte
1566;T82;Complicações de dispositivos protéticos, implantes e enxertos cardíacos e vasculares
1567;T83;Complicações de dispositivos protéticos, implantes e enxertos geniturinários internos
1568;T84;Complicações de dispositivos protéticos, implantes e enxertos ortopédicos internos
1569;T85;Complicações de outros dispositivos protéticos, implantes e enxertos internos
1570;T86;Falha e rejeição de órgãos e tecidos transplantados
1571;T87;Complicações próprias de reimplante e amputação
1572;T88;Outras complicações de cuidados médicos e cirúrgicos não classificadas em outra parte
1573;T90;Seqüelas de traumatismo da cabeça
1574;T91;Seqüelas de traumatismos do pescoço e do tronco
1575;T92;Seqüelas de traumatismos do membro superior
1576;T93;Seqüelas de traumatismos do membro inferior
1577;T94;Seqüelas de traumatismos envolvendo múltiplas regiões do corpo e as não especificadas
1578;T95;Seqüelas de queimaduras, corrosões e geladuras
1579;T96;Seqüelas de intoxicação por drogas, medicamentos e substâncias biológicas
1580;T97;Seqüelas de efeitos tóxicos de substâncias de origem predominantemente não-medicinal
1581;T98;Seqüelas de outros efeitos de causas externas e dos não especificados
1582;V01;Pedestre traumatizado em colisão com um veículo a pedal
1583;V02;Pedestre traumatizado em colisão com um veículo a motor de duas ou três rodas
1584;V03;"Pedestre traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
1585;V04;Pedestre traumatizado em colisão com um veículo de transporte pesado ou com um ônibus
1586;V05;Pedestre traumatizado em colisão com trem [comboio] ou um veículo ferroviário
1587;V06;Pedestre traumatizado em colisão com outro veículo não-motorizado
1588;V09;Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
1589;V10;Ciclista traumatizado em colisão com um pedestre ou um animal
1590;V11;Ciclista traumatizado em colisão com outro veículo a pedal
1591;V12;Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas
1592;V13;"Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete"
1593;V14;Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus
1594;V15;Ciclista traumatizado em colisão com um trem ou um veículo ferroviário
1595;V16;Ciclista traumatizado em colisão com outro veículo não-motorizado
1596;V17;Ciclista traumatizado em colisão com um objeto fixo ou parado
1597;V18;Ciclista traumatizado em um acidente de transporte sem colisão
1598;V19;Ciclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
1599;V20;Motociclista traumatizado em colisão com um pedestre ou um animal
1600;V21;Motociclista traumatizado em colisão com um veículo a pedal
1601;V22;Motociclista traumatizado em colisão com um veículo a motor de duas ou três rodas
1602;V23;"Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
1603;V24;Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus
1604;V25;Motociclista traumatizado em colisão com um trem ou um veículo ferroviário
1605;V26;Motociclista traumatizado em colisão com outro veículo não-motorizado
1606;V27;Motociclista traumatizado em colisão com um objeto fixo ou parado
1607;V28;Motociclista traumatizado em um acidente de transporte sem colisão
1608;V29;Motociclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
1609;V30;Ocupante de um triciclo motorizado traumatizado em colisão com um pedestre ou um animal
1610;V31;Ocupante de um triciclo motorizado traumatizado em colisão com um veículo a pedal
1611;V32;Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo a motor de duas ou três rodas
1612;V33;"Ocupante de um triciclo motorizado traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete"
1613;V34;Ocupante de um triciclo motorizado traumatizado em colisão com um veículo de transporte pesado ou um ônibus
1614;V35;Ocupante de um triciclo motorizado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário
1615;V36;Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo não-motorizado
1616;V37;Ocupante de um triciclo motorizado traumatizado em colisão com um objeto fixo ou parado
1617;V38;Ocupante de um triciclo motorizado traumatizado em um acidente de transporte sem colisão
1618;V39;Ocupante de um triciclo motorizado traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
1619;V40;Ocupante de um automóvel [carro] traumatizado em colisão com um pedestre ou um animal
1620;V41;Ocupante de um automóvel [carro] traumatizado em colisão com um veículo a pedal
1621;V42;Ocupante de um automóvel [carro] traumatizado em colisão com outro veículo a motor de duas ou três rodas
1622;V43;"Ocupante de um automóvel [carro] traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
1623;V44;Ocupante de um automóvel [carro] traumatizado em colisão com um veículo de transporte pesado ou um ônibus
1624;V45;Ocupante de um automóvel [carro] traumatizado em colisão com um trem [comboio] ou um veículo ferroviário
1625;V46;Ocupante de um automóvel [carro] traumatizado em colisão com outro veículo não-motorizado
1626;V47;Ocupante de um automóvel [carro] traumatizado em colisão com um objeto fixo ou parado
1627;V48;Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão
1628;V49;Ocupante de um automóvel [carro] traumatizado em outro acidentes de transporte e em acidentes de transporte não especificados
1629;V50;Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal
1630;V51;Ocupante de uma caminhonete traumatizado em colisão com um veículo a pedal
1631;V52;Ocupante de uma caminhonete traumatizado em colisão com veículo a motor de duas ou três rodas
1632;V53;Ocupante de uma caminhonete traumatizado em colisão com um automóvel [carro] ou uma caminhonete
1633;V54;Ocupante de uma caminhonete traumatizado em colisão com um veículo de transporte pesado ou um ônibus
1634;V55;Ocupante de uma caminhonete traumatizado em colisão com um trem [comboio] ou veículo ferroviário
1635;V56;Ocupante de uma caminhonete traumatizado em colisão com outro veículo não-motorizado
1636;V57;Ocupante de uma caminhonete traumatizado em colisão com um objeto fixo ou parado
1637;V58;Ocupante de uma caminhonete traumatizado em um acidente de transporte sem colisão
1638;V59;Ocupante de uma caminhonete traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
1639;V60;Ocupante de um veículo de transporte pesado traumatizado em colisão com um pedestre ou um animal
1640;V61;Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a pedal
1641;V62;Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a motor de duas ou três rodas
1642;V63;Ocupante de um veículo de transporte pesado traumatizado em colisão com um automóvel [carro] ou uma caminhonete
1643;V64;Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus
1644;V65;Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário
1645;V66;Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado
1646;V67;Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado
1647;V68;Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão
1648;V69;Ocupante de um veículo de transporte pesado traumatizado em outros acidentes de transporte não especificados
1649;V70;Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal
1650;V71;Ocupante de um ônibus traumatizado em colisão com um veículo a pedal
1651;V72;Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas
1652;V73;Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete
1653;V74;Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus
1654;V75;Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário
1655;V76;Ocupante de um ônibus traumatizado em colisão com outro veículo não-motorizado
1656;V77;Ocupante de um ônibus traumatizado em colisão com um objeto fixo ou parado
1657;V78;Ocupante de um ônibus traumatizado em um acidente de transporte sem colisão
1658;V79;Ocupante de um ônibus traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
1659;V80;Pessoa montada em animal ou ocupante de um veículo a tração animal traumatizado em um acidente de transporte
1660;V81;Ocupante de um trem [comboio] ou um veículo ferroviário traumatizado em um acidente de transporte
1661;V82;Ocupante de um bonde [carro elétrico] traumatizado em um acidente de transporte
1662;V83;Ocupante de um veículo especial a motor usado principalmente em áreas industriais traumatizado em um acidente de transporte
1663;V84;Ocupante de um veículo especial a motor de uso essencialmente agrícola traumatizado em um acidente de transporte
1664;V85;Ocupante de um veículo a motor especial de construções traumatizado em um acidente de transporte
1665;V86;Ocupante de um veículo especial para qualquer terreno ou de outro veículo a motor projetado essencialmente para uso não em via pública, traumatizado em um acidente de transporte
1666;V87;Acidente de trânsito de tipo especificado, mas sendo desconhecido o modo de transporte da vítima
1667;V88;Acidente não-de-trânsito de tipo especificado, mas sendo desconhecido o modo de transporte da vítima
1668;V89;Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)
1669;V90;Acidente com embarcação causando afogamento e submersão
1670;V91;Acidente com embarcação causando outro tipo de traumatismo
1671;V92;Afogamento e submersão relacionados com transporte por água sem acidente com a embarcação
1672;V93;Acidente a bordo de uma embarcação, sem acidente da embarcação e não causando afogamento ou submersão
1673;V94;Outros acidentes de transporte por água e os não especificados
1674;V95;Acidente de aeronave a motor causando traumatismo ao ocupante
1675;V96;Acidente de uma aeronave sem motor causando traumatismo a ocupante
1676;V97;Outros acidentes especificados de transporte aéreo
1677;V98;Outros acidentes de transporte especificados
